ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006913,nucleocytoplasmic transport,7/688,14/10114,1.4709771840542308e-5,4.560029270568116e-4,3.730229222721255e-4,MGG_00101/MGG_01311/MGG_04831/MGG_05095/MGG_06297/MGG_06426/MGG_08590,7
GO:0016301,kinase activity,32/688,216/10114,2.3259121538845264e-5,6.609467037288529e-4,5.406725620871925e-4,MGG_00345/MGG_00446/MGG_00481/MGG_00760/MGG_01196/MGG_01279/MGG_01702/MGG_01795/MGG_02757/MGG_02944/MGG_03007/MGG_03937/MGG_05199/MGG_05220/MGG_06393/MGG_06421/MGG_06572/MGG_06678/MGG_07012/MGG_07151/MGG_07291/MGG_07312/MGG_08159/MGG_08636/MGG_08689/MGG_11174/MGG_11326/MGG_12862/MGG_14757/MGG_14773/MGG_15156/MGG_15988,32
GO:0016310,phosphorylation,33/688,230/10114,3.387080018695878e-5,8.884571433656111e-4,7.267823521898038e-4,MGG_00345/MGG_00446/MGG_00481/MGG_00760/MGG_01196/MGG_01279/MGG_01702/MGG_01795/MGG_02757/MGG_02944/MGG_03007/MGG_03937/MGG_05199/MGG_05220/MGG_06393/MGG_06421/MGG_06572/MGG_06678/MGG_07012/MGG_07151/MGG_07291/MGG_07312/MGG_08159/MGG_08636/MGG_08689/MGG_08804/MGG_11174/MGG_11326/MGG_12862/MGG_14757/MGG_14773/MGG_15156/MGG_15988,33
GO:0005856,cytoskeleton,13/688,53/10114,3.9537888081483906e-5,9.630299882704295e-4,7.87784988089717e-4,MGG_00748/MGG_01757/MGG_01835/MGG_03567/MGG_04185/MGG_04366/MGG_04472/MGG_05060/MGG_05626/MGG_07129/MGG_07143/MGG_09495/MGG_12839,13
GO:0008289,lipid binding,8/688,22/10114,5.977286947208866e-5,0.0013588365659988157,0.0011115656428142804,MGG_00853/MGG_02958/MGG_04616/MGG_08135/MGG_09947/MGG_11490/MGG_12832/MGG_17877,8
GO:0005874,microtubule,11/688,41/10114,6.390016580226098e-5,0.0013618722836606873,0.0011140489432631027,MGG_01757/MGG_02425/MGG_02522/MGG_02875/MGG_03567/MGG_04185/MGG_04366/MGG_04472/MGG_05060/MGG_07129/MGG_07143,11
GO:0003774,motor activity,7/688,19/10114,1.5980911899556954e-4,0.0030274949765271785,0.0024765740663056104,MGG_00748/MGG_01757/MGG_02425/MGG_04366/MGG_05060/MGG_13013/MGG_13014,7
GO:0006897,endocytosis,7/688,19/10114,1.5980911899556954e-4,0.0030274949765271785,0.0024765740663056104,MGG_04616/MGG_04955/MGG_05315/MGG_05626/MGG_06649/MGG_12839/MGG_12862,7
GO:0004674,protein serine/threonine kinase activity,18/688,104/10114,2.0336657579724538e-4,0.003649894860361088,0.0029857142707074807,MGG_00345/MGG_00760/MGG_01196/MGG_01279/MGG_01795/MGG_02757/MGG_02944/MGG_03937/MGG_05220/MGG_06393/MGG_06421/MGG_07012/MGG_07291/MGG_08689/MGG_11326/MGG_14773/MGG_15156/MGG_15988,18
GO:0005768,endosome,8/688,26/10114,2.288788598132041e-4,0.00390238455981513,0.0031922577816052154,MGG_00455/MGG_01704/MGG_05626/MGG_06649/MGG_07037/MGG_07151/MGG_12832/MGG_12839,8
GO:0010008,endosome membrane,7/688,21/10114,3.2708496460317647e-4,0.005311236806175389,0.004344737625054725,MGG_00455/MGG_05626/MGG_06649/MGG_07037/MGG_09210/MGG_12832/MGG_12839,7
GO:0016311,dephosphorylation,12/688,57/10114,3.6851147351645464e-4,0.0057119278395050465,0.004672513898653611,MGG_00912/MGG_01311/MGG_03646/MGG_03661/MGG_04637/MGG_05299/MGG_05650/MGG_06001/MGG_08005/MGG_08895/MGG_09898/MGG_16443,12
GO:0007154,cell communication,6/688,16/10114,4.299597600302545e-4,0.006121204416980266,0.0050073133832374455,MGG_00960/MGG_01434/MGG_01702/MGG_06628/MGG_11649/MGG_12832,6
GO:0016791,phosphatase activity,11/688,50/10114,4.3081790618042926e-4,0.006121204416980266,0.0050073133832374455,MGG_00912/MGG_03646/MGG_03661/MGG_04549/MGG_04637/MGG_05299/MGG_06001/MGG_08005/MGG_08895/MGG_09898/MGG_16443,11
GO:0008047,enzyme activator activity,5/688,11/10114,4.6957923922082807e-4,0.006160931118140375,0.005039810916212994,MGG_04377/MGG_05522/MGG_06390/MGG_06924/MGG_09531,5
GO:0003743,translation initiation factor activity,10/688,43/10114,4.878156603806162e-4,0.006160931118140375,0.005039810916212994,MGG_00847/MGG_01207/MGG_01549/MGG_05134/MGG_05264/MGG_06066/MGG_10192/MGG_12177/MGG_12301/MGG_16895,10
GO:0006413,translational initiation,10/688,43/10114,4.878156603806162e-4,0.006160931118140375,0.005039810916212994,MGG_00847/MGG_01207/MGG_01549/MGG_05264/MGG_06066/MGG_08180/MGG_10192/MGG_12177/MGG_12301/MGG_16895,10
GO:0003676,nucleic acid binding,43/688,376/10114,5.13405234118973e-4,0.00625254231552035,0.005114751392538641,MGG_00444/MGG_00504/MGG_00896/MGG_01000/MGG_01012/MGG_01207/MGG_01746/MGG_01781/MGG_02580/MGG_02730/MGG_02741/MGG_03017/MGG_03053/MGG_03218/MGG_03451/MGG_03506/MGG_04399/MGG_04405/MGG_04472/MGG_04589/MGG_04621/MGG_04699/MGG_04709/MGG_04727/MGG_05133/MGG_05264/MGG_05287/MGG_05307/MGG_05375/MGG_06005/MGG_06124/MGG_06318/MGG_07147/MGG_07203/MGG_08741/MGG_08757/MGG_09553/MGG_09701/MGG_10162/MGG_11457/MGG_11466/MGG_12972/MGG_15532,43
GO:0006869,lipid transport,6/688,17/10114,6.265395837747792e-4,0.0073672413126620595,0.006026605796744701,MGG_00819/MGG_02958/MGG_09947/MGG_11490/MGG_16734/MGG_17877,6
GO:0017056,structural constituent of nuclear pore,5/688,12/10114,7.601245644623521e-4,0.008640082549388736,0.007067824897632396,MGG_04528/MGG_05095/MGG_06297/MGG_06426/MGG_08590,5
GO:0005096,GTPase activator activity,7/688,25/10114,0.0010644879324098568,0.011709367256508426,0.009578584111667643,MGG_01472/MGG_01745/MGG_04377/MGG_04954/MGG_06390/MGG_09531/MGG_14823,7
GO:0005819,spindle,5/688,13/10114,0.0011664767350894436,0.012430267708296883,0.010168300486799427,MGG_01835/MGG_02522/MGG_03567/MGG_04185/MGG_07143,5
GO:0003677,DNA binding,44/688,410/10114,0.0016469441139044946,0.017018422510346444,0.013921537166975792,MGG_00136/MGG_00169/MGG_00354/MGG_00692/MGG_00704/MGG_00780/MGG_00976/MGG_01012/MGG_01204/MGG_01325/MGG_01641/MGG_01659/MGG_01661/MGG_02493/MGG_03161/MGG_03204/MGG_03288/MGG_04410/MGG_04421/MGG_04589/MGG_04652/MGG_04878/MGG_06014/MGG_06162/MGG_06960/MGG_07450/MGG_07681/MGG_08186/MGG_08757/MGG_09004/MGG_09293/MGG_09903/MGG_09917/MGG_10150/MGG_10741/MGG_11130/MGG_11196/MGG_12130/MGG_12750/MGG_12865/MGG_13532/MGG_14496/MGG_14558/MGG_17841,44
GO:0046854,phosphatidylinositol phosphate biosynthetic process,5/688,14/10114,0.0017137418205986582,0.01718782237718066,0.014060110912032336,MGG_04549/MGG_06572/MGG_07151/MGG_12862/MGG_14757,5
GO:0007049,cell cycle,11/688,60/10114,0.0021249578096680668,0.02070316037419459,0.016935753971790608,MGG_01549/MGG_03087/MGG_03567/MGG_03991/MGG_04185/MGG_04637/MGG_06726/MGG_07143/MGG_08841/MGG_09554/MGG_11473,11
GO:0006914,autophagy,7/688,28/10114,0.002192969242096972,0.020772291987640763,0.016992305530868352,MGG_03459/MGG_06393/MGG_07667/MGG_11340/MGG_12141/MGG_12832/MGG_16734,7
GO:0006397,mRNA processing,14/688,88/10114,0.0023230092245819034,0.021409355286011594,0.01751344081121492,MGG_01468/MGG_03265/MGG_05174/MGG_05990/MGG_06342/MGG_06505/MGG_07147/MGG_08804/MGG_08861/MGG_09889/MGG_13154/MGG_14969/MGG_15532/MGG_15988,14
GO:0005886,plasma membrane,12/688,70/10114,0.002462397976768642,0.022096781844160706,0.018075774621708868,MGG_01047/MGG_02630/MGG_03741/MGG_05211/MGG_05626/MGG_06064/MGG_06649/MGG_07151/MGG_10322/MGG_12839/MGG_13013/MGG_13014,12
GO:0000329,fungal-type vacuole membrane,6/688,22/10114,0.0028187283093942823,0.0246458039359859,0.02016094472306302,MGG_02464/MGG_03101/MGG_03244/MGG_05299/MGG_08827/MGG_14773,6
GO:0032153,cell division site,4/688,10/10114,0.0032005276637830015,0.026552753234787174,0.02172088163981664,MGG_01279/MGG_02757/MGG_06361/MGG_06924,4
GO:1990939,ATP-dependent microtubule motor activity,4/688,10/10114,0.0032005276637830015,0.026552753234787174,0.02172088163981664,MGG_01757/MGG_02425/MGG_04366/MGG_05060,4
GO:0007034,vacuolar transport,5/688,16/10114,0.0033363478422736015,0.026552753234787174,0.02172088163981664,MGG_00852/MGG_03477/MGG_04955/MGG_05208/MGG_08827,5
GO:0006338,chromatin remodeling,7/688,30/10114,0.003348294396175509,0.026552753234787174,0.02172088163981664,MGG_01012/MGG_04589/MGG_06315/MGG_07267/MGG_10538/MGG_11512/MGG_13532,7
GO:0004871,obsolete signal transducer activity,6/688,23/10114,0.0035976507183168457,0.02726219766546765,0.022301226674946533,MGG_00211/MGG_00345/MGG_05332/MGG_07312/MGG_11174/MGG_12377,6
GO:0005643,nuclear pore,6/688,23/10114,0.0035976507183168457,0.02726219766546765,0.022301226674946533,MGG_04831/MGG_05095/MGG_06297/MGG_06426/MGG_07338/MGG_08590,6
GO:0000160,phosphorelay signal transduction system,5/688,17/10114,0.004465434616648113,0.03232623013512108,0.02644374436118872,MGG_00345/MGG_07312/MGG_07517/MGG_11174/MGG_12377,5
GO:0006468,protein phosphorylation,18/688,135/10114,0.004494173623964014,0.03232623013512108,0.02644374436118872,MGG_00345/MGG_00760/MGG_01196/MGG_01279/MGG_01795/MGG_02757/MGG_02944/MGG_03937/MGG_05220/MGG_06393/MGG_06421/MGG_07012/MGG_07291/MGG_08689/MGG_11326/MGG_14773/MGG_15156/MGG_15988,18
GO:0015031,protein transport,21/688,167/10114,0.004555328885342011,0.03232623013512108,0.02644374436118872,MGG_00455/MGG_00852/MGG_01108/MGG_01434/MGG_01704/MGG_01760/MGG_03644/MGG_04955/MGG_05208/MGG_05320/MGG_05958/MGG_06297/MGG_06334/MGG_06393/MGG_06426/MGG_06628/MGG_07481/MGG_12141/MGG_13176/MGG_14173/MGG_16734,21
GO:0051301,cell division,10/688,57/10114,0.004645118113257868,0.03232623013512108,0.02644374436118872,MGG_02522/MGG_03087/MGG_03567/MGG_04185/MGG_04637/MGG_05193/MGG_06465/MGG_07143/MGG_08841/MGG_09554,10
GO:0016772,"transferase activity, transferring phosphorus-containing groups",21/688,173/10114,0.006836285498425899,0.04519942343551901,0.03697437015098793,MGG_00345/MGG_00760/MGG_01196/MGG_01279/MGG_01795/MGG_02757/MGG_02944/MGG_03007/MGG_04987/MGG_05220/MGG_06421/MGG_07012/MGG_07291/MGG_07312/MGG_08689/MGG_11174/MGG_11326/MGG_12862/MGG_14773/MGG_15156/MGG_15988,21
GO:0005789,endoplasmic reticulum membrane,17/688,130/10114,0.006886642990682228,0.04519942343551901,0.03697437015098793,MGG_00503/MGG_01108/MGG_02954/MGG_03644/MGG_03920/MGG_04427/MGG_04987/MGG_06017/MGG_06143/MGG_06183/MGG_06390/MGG_07209/MGG_08135/MGG_08858/MGG_08975/MGG_12141/MGG_16734,17
GO:0106310,protein serine kinase activity,6/688,26/10114,0.006892580699844541,0.04519942343551901,0.03697437015098793,MGG_01279/MGG_01795/MGG_06393/MGG_08689/MGG_15156/MGG_15988,6
